Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,27.00,27.00,26.90,27.00,3637,98193
26.09.2018,27.00,28.20,26.90,27.00,11290,305455
25.09.2018,26.60,27.00,26.50,26.90,8260,220275
24.09.2018,26.00,26.50,26.00,26.50,151280,4008395
21.09.2018,26.20,26.50,26.00,26.20,35370,928039
20.09.2018,26.50,26.50,26.00,26.40,210330,5472766
19.09.2018,26.50,26.50,26.50,26.50,5,133
18.09.2018,26.20,26.80,26.00,26.50,1434,37986
17.09.2018,26.60,26.60,25.80,26.20,31330,815038
14.09.2018,25.60,26.40,25.60,26.40,2700,70094
13.09.2018,24.30,25.60,24.00,25.60,3119,77781
12.09.2018,23.60,26.90,23.60,24.00,244001,5794351
11.09.2018,24.30,24.30,23.60,23.60,3395,81475
10.09.2018,24.90,24.90,24.00,24.00,3783,91856
07.09.2018,25.60,25.60,23.70,24.00,27198,655088
06.09.2018,25.90,25.90,23.90,25.60,3292,82688
05.09.2018,25.90,26.30,25.70,25.90,724,18727
04.09.2018,27.00,27.70,26.00,26.50,75832,2007393
03.09.2018,28.30,28.30,27.00,27.00,24165,654653
31.08.2018,28.10,28.10,27.60,27.90,1244,34805
30.08.2018,28.10,28.10,27.50,28.10,1025,28506
29.08.2018,28.50,28.70,27.50,27.90,5252,146963
28.08.2018,30.40,30.40,28.50,28.60,7826,227846
27.08.2018,31.10,31.20,31.00,31.20,508,15822
24.08.2018,30.90,31.00,30.30,30.50,544,16732
23.08.2018,30.40,31.00,30.30,30.90,471,14320
22.08.2018,31.50,31.50,29.90,31.00,2544,77503
21.08.2018,31.80,31.80,31.50,31.50,518,16402
20.08.2018,32.20,32.20,31.30,31.80,681,21442
17.08.2018,31.50,31.50,31.30,31.50,233,7314
16.08.2018,31.50,31.70,31.50,31.50,962,30326
14.08.2018,31.60,31.80,31.50,31.50,554,17581
13.08.2018,32.00,32.00,31.80,31.80,465,14842
10.08.2018,32.00,32.00,31.30,31.80,811,25623
09.08.2018,31.60,32.10,31.60,32.00,544,17385
08.08.2018,31.90,31.90,31.80,31.80,2830,90024
07.08.2018,32.90,33.30,31.80,31.80,1836,59054
06.08.2018,32.30,32.80,32.30,32.30,1963,63711
03.08.2018,32.40,32.40,31.90,31.90,577,18509
02.08.2018,31.70,32.00,31.70,31.90,575,18382
01.08.2018,32.30,32.30,31.70,32.00,1382,44229
31.07.2018,32.30,32.30,32.00,32.00,838,26819
