Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,77.00,82.00,77.00,81.00,13766,1108914
31.10.2018,73.15,77.00,73.15,75.40,10964,828556
30.10.2018,72.00,72.60,71.53,72.50,4775,345320
29.10.2018,71.02,72.90,71.02,72.45,7354,530683
26.10.2018,71.00,74.10,71.00,71.01,20413,1476485
25.10.2018,70.61,72.00,68.42,70.75,40131,2821804
24.10.2018,71.21,76.90,71.21,74.52,18022,1348866
23.10.2018,74.00,74.00,69.00,73.01,31231,2240115
22.10.2018,78.00,78.00,71.00,76.50,31699,2350730
19.10.2018,78.40,79.50,77.30,78.61,11633,909361
18.10.2018,80.20,82.00,78.20,79.10,13884,1101267
17.10.2018,83.00,83.82,80.10,80.50,11449,942729
16.10.2018,83.00,83.80,80.70,83.00,8475,703046
15.10.2018,85.00,85.30,81.30,82.85,17877,1478196
12.10.2018,81.00,83.95,77.50,83.79,17507,1429967
11.10.2018,82.10,83.88,76.00,79.70,43779,3518612
10.10.2018,90.50,90.50,85.00,86.40,11711,1027377
09.10.2018,90.10,91.69,88.60,90.60,6016,540377
08.10.2018,94.58,97.00,89.23,91.10,7519,687116
05.10.2018,90.40,98.99,90.40,94.60,17779,1701258
04.10.2018,95.00,95.05,90.11,92.00,11075,1033298
03.10.2018,92.99,94.55,88.80,94.40,22848,2072173
02.10.2018,93.10,94.92,91.50,92.50,8208,758786
01.10.2018,97.00,99.38,93.60,94.32,4963,473856
28.09.2018,99.00,100.96,95.10,97.00,9192,901308
27.09.2018,97.80,100.50,97.80,98.00,6774,672178
26.09.2018,97.80,101.60,96.10,96.98,11665,1147563
25.09.2018,94.10,97.99,94.10,97.65,6921,666908
24.09.2018,100.00,101.00,93.00,93.00,16414,1584024
21.09.2018,99.00,101.90,98.50,100.00,4984,498417
20.09.2018,96.51,98.98,96.50,98.40,3080,300573
19.09.2018,101.50,105.00,96.10,96.50,20403,2022907
18.09.2018,103.00,110.00,102.00,102.00,23309,2472457
17.09.2018,89.60,102.50,89.60,102.50,23094,2243853
14.09.2018,89.00,89.80,88.00,89.70,5563,497200
13.09.2018,88.96,88.96,87.00,88.73,4052,357303
12.09.2018,90.20,91.00,85.50,86.02,13967,1230082
11.09.2018,95.00,95.00,87.00,87.40,15014,1371574
10.09.2018,87.02,93.45,84.00,93.00,23058,2003063
07.09.2018,87.00,92.80,87.00,88.50,26146,2332211
06.09.2018,89.90,90.50,86.00,88.50,23814,2110320
05.09.2018,89.60,96.80,89.60,91.50,34403,3224497
04.09.2018,83.10,91.41,81.20,89.78,60053,5315222
03.09.2018,100.02,101.00,85.00,85.00,62973,5812724
31.08.2018,106.00,106.00,98.00,101.30,24747,2503008
30.08.2018,112.80,112.80,105.00,107.00,12048,1294520
29.08.2018,105.74,115.00,95.17,110.00,71548,7439606
28.08.2018,117.50,123.00,105.76,105.76,69880,7805562
27.08.2018,119.00,124.50,118.80,120.00,27381,3336375
