Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,2.06,2.06,2.06,2.06,1,2
26.09.2018,2.06,2.06,1.99,1.99,700,1393
25.09.2018,2.06,2.06,1.93,1.99,1400,2762
24.09.2018,1.99,1.99,1.99,1.99,1691,3365
21.09.2018,1.99,1.99,1.99,1.99,787,1566
20.09.2018,1.90,1.90,1.90,1.90,415,789
19.09.2018,1.99,1.99,1.99,1.99,1,2
18.09.2018,1.99,1.99,1.99,1.99,668,1329
17.09.2018,1.99,1.99,1.99,1.99,30,60
14.09.2018,2.04,2.04,1.99,1.99,4798,9548
12.09.2018,2.04,2.04,2.04,2.04,409,834
11.09.2018,2.12,2.12,1.99,2.10,752,1532
10.09.2018,1.98,1.99,1.98,1.99,150,298
07.09.2018,2.02,2.12,1.98,1.98,7606,15333
06.09.2018,2.12,2.12,2.09,2.09,650,1359
05.09.2018,2.12,2.12,2.02,2.02,2568,5207
04.09.2018,2.12,2.12,2.09,2.09,1696,3545
03.09.2018,2.12,2.12,2.03,2.03,4065,8320
31.08.2018,2.16,2.16,2.10,2.10,2129,4471
30.08.2018,2.16,2.16,2.16,2.16,1100,2376
29.08.2018,2.16,2.16,2.16,2.16,1601,3458
28.08.2018,2.16,2.16,2.12,2.16,608,1308
27.08.2018,2.15,2.16,2.15,2.16,951,2054
24.08.2018,2.15,2.15,2.10,2.10,1001,2150
23.08.2018,2.16,2.16,2.16,2.16,1,2
22.08.2018,2.16,2.16,2.16,2.16,1,2
21.08.2018,2.16,2.16,2.09,2.16,2553,5356
20.08.2018,2.16,2.16,2.09,2.15,1285,2747
17.08.2018,2.16,2.16,2.15,2.16,676,1459
16.08.2018,2.18,2.18,2.07,2.16,4677,10055
14.08.2018,2.16,2.16,2.16,2.16,1,2
13.08.2018,2.16,2.16,2.08,2.16,2746,5822
10.08.2018,2.19,2.19,2.09,2.16,3522,7426
09.08.2018,2.16,2.16,2.16,2.16,1,2
08.08.2018,2.16,2.16,2.16,2.16,1,2
07.08.2018,2.19,2.19,2.16,2.16,616,1331
06.08.2018,2.10,2.16,2.10,2.16,3485,7488
03.08.2018,2.15,2.15,2.08,2.08,1201,2522
01.08.2018,2.15,2.15,2.15,2.15,1,2
31.07.2018,2.11,2.11,2.11,2.11,200,422
30.07.2018,2.19,2.19,2.11,2.11,2518,5313
27.07.2018,2.19,2.19,2.19,2.19,1,2
26.07.2018,2.19,2.19,2.19,2.19,1,2
25.07.2018,2.18,2.18,2.11,2.18,2824,6086
24.07.2018,2.18,2.18,2.18,2.18,1,2
23.07.2018,2.18,2.18,2.08,2.18,12,25
20.07.2018,2.18,2.18,2.18,2.18,1,2
19.07.2018,2.18,2.18,2.18,2.18,1,2
18.07.2018,2.18,2.18,2.18,2.18,1,2
17.07.2018,2.18,2.18,2.18,2.18,1,2
16.07.2018,2.18,2.18,2.18,2.18,1,2
13.07.2018,2.16,2.19,2.10,2.10,508,1067
12.07.2018,2.14,2.19,2.14,2.19,299,647
11.07.2018,2.14,2.14,2.14,2.14,1,2
10.07.2018,2.10,2.14,2.06,2.14,2456,5088
09.07.2018,2.10,2.10,2.10,2.10,1801,3782
06.07.2018,2.00,2.10,2.00,2.09,7117,14604
05.07.2018,2.10,2.10,2.10,2.10,1,2
04.07.2018,2.10,2.10,2.05,2.05,751,1540
03.07.2018,2.10,2.10,2.10,2.10,1,2
02.07.2018,2.10,2.10,2.00,2.00,6537,13150
29.06.2018,2.09,2.09,1.97,1.97,201,396
28.06.2018,2.10,2.10,1.86,2.00,34103,67015
27.06.2018,2.00,2.10,1.98,2.10,1326,2646
26.06.2018,2.10,2.10,2.10,2.10,1,2
25.06.2018,2.10,2.10,2.05,2.05,4660,9564
22.06.2018,2.10,2.10,2.10,2.10,1,2
21.06.2018,2.10,2.10,2.10,2.10,1,2
20.06.2018,2.11,2.11,2.06,2.06,903,1860
19.06.2018,2.11,2.13,2.11,2.12,531,1125
18.06.2018,1.99,2.13,1.99,2.02,15625,31639
15.06.2018,1.99,1.99,1.99,1.99,1,2
14.06.2018,1.99,1.99,1.99,1.99,1,2
13.06.2018,1.99,1.99,1.91,1.92,1801,3471
12.06.2018,1.98,1.99,1.91,1.94,611,1177
11.06.2018,1.99,1.99,1.91,1.99,8208,15954
08.06.2018,1.99,1.99,1.99,1.99,1,2
07.06.2018,1.99,1.99,1.99,1.99,1,2
06.06.2018,1.99,1.99,1.99,1.99,1,2
05.06.2018,1.88,1.89,1.87,1.89,8432,15801
04.06.2018,1.89,1.89,1.78,1.78,1501,2672
01.06.2018,1.80,1.84,1.80,1.84,6351,11668
30.05.2018,1.88,1.88,1.84,1.84,5491,10103
29.05.2018,1.88,1.88,1.75,1.84,11992,21216
28.05.2018,1.81,1.81,1.81,1.81,10,18
25.05.2018,1.66,1.66,1.66,1.66,1,2
24.05.2018,1.70,1.70,1.65,1.65,501,827
23.05.2018,1.70,1.70,1.70,1.70,100,170
22.05.2018,1.70,1.70,1.69,1.70,1501,2543
21.05.2018,1.70,1.70,1.70,1.70,1,2
18.05.2018,1.65,1.71,1.65,1.71,321,546
17.05.2018,1.69,1.71,1.65,1.65,13044,21576
16.05.2018,1.69,1.69,1.69,1.69,1,2
15.05.2018,1.69,1.69,1.69,1.69,31,52
14.05.2018,1.69,1.69,1.69,1.69,1,2
11.05.2018,1.74,1.74,1.70,1.70,211,359
10.05.2018,1.85,1.85,1.69,1.71,16861,28880
09.05.2018,1.89,1.89,1.77,1.86,1353,2395
08.05.2018,1.88,1.88,1.88,1.88,1,2
07.05.2018,1.88,1.88,1.80,1.88,1402,2524
04.05.2018,1.89,1.89,1.89,1.89,1,2
02.05.2018,1.89,1.89,1.80,1.80,302,544
30.04.2018,1.89,1.89,1.80,1.89,302,544
27.04.2018,1.89,1.89,1.89,1.89,1,2
