Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,0.71,0.71,0.71,0.71,28,20
27.09.2018,0.71,0.71,0.71,0.71,25,18
26.09.2018,0.74,0.74,0.74,0.74,47,35
25.09.2018,0.74,0.74,0.68,0.73,5512,3800
24.09.2018,0.74,0.74,0.74,0.74,17,13
21.09.2018,0.73,0.73,0.71,0.73,56,41
20.09.2018,0.73,0.73,0.73,0.73,47,34
19.09.2018,0.73,0.73,0.73,0.73,51,37
18.09.2018,0.73,0.73,0.73,0.73,25,18
17.09.2018,0.74,0.74,0.72,0.73,146,106
14.09.2018,0.74,0.74,0.72,0.72,102,74
13.09.2018,0.74,0.74,0.74,0.74,48,36
12.09.2018,0.74,0.74,0.72,0.72,138,100
11.09.2018,0.74,0.74,0.74,0.74,24,18
10.09.2018,0.72,0.74,0.72,0.73,3428,2506
07.09.2018,0.76,0.76,0.73,0.73,245,182
06.09.2018,0.71,0.77,0.71,0.77,20067,14518
05.09.2018,0.75,0.75,0.73,0.73,45,33
04.09.2018,0.75,0.75,0.74,0.75,2106,1562
03.09.2018,0.72,0.75,0.71,0.75,3028,2177
31.08.2018,0.73,0.77,0.72,0.77,3969,2985
30.08.2018,0.78,0.78,0.78,0.78,16,12
29.08.2018,0.87,0.87,0.87,0.87,14,12
28.08.2018,0.79,0.79,0.79,0.79,89,70
27.08.2018,0.87,0.87,0.87,0.87,2,2
24.08.2018,0.87,0.87,0.80,0.80,9659,7823
23.08.2018,0.87,0.87,0.87,0.87,26,23
22.08.2018,0.87,0.87,0.87,0.87,28,24
21.08.2018,0.87,0.87,0.82,0.87,1965,1614
20.08.2018,0.87,0.87,0.87,0.87,35,30
17.08.2018,0.82,0.82,0.82,0.82,135,111
16.08.2018,0.86,0.87,0.84,0.84,6000,5139
14.08.2018,0.86,0.86,0.86,0.86,2,2
13.08.2018,0.87,0.87,0.84,0.87,103,88
10.08.2018,0.88,0.88,0.87,0.87,69,60
09.08.2018,0.90,0.90,0.89,0.89,8473,7541
08.08.2018,0.91,0.91,0.90,0.90,1660,1510
07.08.2018,0.92,0.92,0.91,0.91,33,30
06.08.2018,0.92,0.92,0.92,0.92,26,24
03.08.2018,0.91,0.96,0.91,0.96,354,323
02.08.2018,0.92,0.96,0.91,0.92,15347,14119
01.08.2018,0.97,0.97,0.92,0.92,1546,1422
31.07.2018,0.97,0.97,0.97,0.97,49,48
30.07.2018,0.97,0.97,0.97,0.97,42,41
27.07.2018,0.97,0.97,0.97,0.97,37,36
26.07.2018,0.97,0.97,0.97,0.97,38,37
25.07.2018,0.97,0.97,0.97,0.97,37,36
24.07.2018,0.97,0.97,0.93,0.93,3170,2982
23.07.2018,0.98,1.01,0.94,0.97,4756,4620
20.07.2018,0.99,0.99,0.99,0.99,51,50
19.07.2018,0.98,0.98,0.98,0.98,40,39
18.07.2018,1.00,1.00,0.98,0.98,98,96
17.07.2018,0.98,0.98,0.98,0.98,3041,2980
16.07.2018,0.98,0.98,0.98,0.98,82,80
13.07.2018,0.99,0.99,0.99,0.99,40,40
12.07.2018,0.99,0.99,0.95,0.99,1487,1414
11.07.2018,0.99,0.99,0.99,0.99,38,38
10.07.2018,1.00,1.00,0.99,0.99,1033,1033
09.07.2018,0.97,1.01,0.95,1.01,287,277
06.07.2018,0.98,0.98,0.98,0.98,2,2
05.07.2018,1.00,1.00,0.99,1.00,1086,1084
04.07.2018,1.00,1.00,0.93,1.00,2046,1916
03.07.2018,1.01,1.01,0.95,1.01,4179,3972
02.07.2018,1.01,1.01,1.01,1.01,41,41
29.06.2018,1.02,1.02,1.02,1.02,25,26
28.06.2018,1.03,1.03,1.03,1.03,32,33
27.06.2018,1.03,1.03,1.03,1.03,36,37
26.06.2018,1.10,1.10,1.00,1.00,50,53
25.06.2018,1.10,1.10,1.10,1.10,38,42
22.06.2018,1.02,1.02,1.02,1.02,149,152
21.06.2018,1.03,1.03,1.02,1.02,386,397
20.06.2018,1.14,1.14,1.14,1.14,22,25
19.06.2018,1.14,1.14,1.14,1.14,38,43
18.06.2018,1.14,1.14,1.14,1.14,41,47
15.06.2018,1.10,1.14,1.10,1.14,125,141
14.06.2018,1.01,1.04,1.01,1.04,8623,8854
13.06.2018,1.01,1.02,1.01,1.02,1868,1904
12.06.2018,1.00,1.02,1.00,1.00,309,309
11.06.2018,1.07,1.07,1.02,1.02,115,120
08.06.2018,1.18,1.18,1.18,1.18,38,45
07.06.2018,1.32,1.32,1.19,1.19,1333,1591
06.06.2018,1.31,1.31,1.31,1.31,39,51
05.06.2018,1.32,1.32,1.32,1.32,37,49
04.06.2018,1.32,1.32,1.32,1.32,31,41
01.06.2018,1.32,1.32,1.32,1.32,10,13
30.05.2018,1.32,1.32,1.32,1.32,25,33
29.05.2018,1.32,1.32,1.32,1.32,26,34
28.05.2018,1.32,1.32,1.32,1.32,33,44
25.05.2018,1.32,1.32,1.31,1.32,127,167
24.05.2018,1.32,1.32,1.32,1.32,10,13
23.05.2018,1.24,1.24,1.24,1.24,10,12
22.05.2018,1.32,1.32,1.32,1.32,13,17
21.05.2018,1.32,1.32,1.32,1.32,10,13
18.05.2018,1.32,1.32,1.32,1.32,11,15
17.05.2018,1.32,1.32,1.32,1.32,11,15
16.05.2018,1.35,1.35,1.35,1.35,10,14
15.05.2018,1.35,1.35,1.35,1.35,13,18
14.05.2018,1.37,1.37,1.37,1.37,35,48
10.05.2018,1.37,1.37,1.37,1.37,23,32
07.05.2018,1.25,1.37,1.25,1.37,477,608
04.05.2018,1.41,1.41,1.41,1.41,15,21
02.05.2018,1.41,1.41,1.41,1.41,18,25
27.04.2018,1.25,1.41,1.25,1.37,633,806
26.04.2018,1.42,1.42,1.42,1.42,37,53
25.04.2018,1.42,1.43,1.42,1.42,1065,1513
23.04.2018,1.42,1.42,1.42,1.42,35,50
20.04.2018,1.42,1.42,1.42,1.42,39,55
19.04.2018,1.42,1.42,1.42,1.42,37,53
17.04.2018,1.42,1.42,1.42,1.42,40,57
16.04.2018,1.42,1.42,1.42,1.42,40,57
13.04.2018,1.43,1.43,1.43,1.43,37,53
12.04.2018,1.35,1.43,1.32,1.43,7120,9404
11.04.2018,1.44,1.44,1.44,1.44,60,86
10.04.2018,1.36,1.44,1.36,1.44,7037,9573
06.04.2018,1.44,1.44,1.44,1.44,39,56
05.04.2018,1.44,1.44,1.44,1.44,32,46
04.04.2018,1.44,1.44,1.44,1.44,38,55
28.03.2018,1.43,1.43,1.43,1.43,580,829
27.03.2018,1.44,1.44,1.43,1.43,287,411
26.03.2018,1.62,1.62,1.41,1.45,3542,5004
23.03.2018,1.60,1.60,1.60,1.60,19,30
22.03.2018,1.60,1.60,1.60,1.60,530,848
21.03.2018,1.60,1.60,1.60,1.60,20,32
