Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,9.44,9.46,9.16,9.18,747,6894
26.09.2018,9.40,9.50,9.40,9.50,1367,12878
25.09.2018,9.36,9.48,9.36,9.48,1729,16263
24.09.2018,9.12,9.56,9.12,9.40,3236,29877
21.09.2018,9.12,9.12,8.70,8.92,2875,25313
20.09.2018,8.92,9.12,8.92,9.12,253,2279
19.09.2018,9.30,9.30,8.90,8.90,4715,43297
18.09.2018,9.40,9.58,9.30,9.30,5205,49056
17.09.2018,9.20,9.80,9.16,9.50,6160,57923
14.09.2018,9.30,9.40,9.16,9.40,1925,17924
13.09.2018,9.40,9.40,9.16,9.38,1283,11805
12.09.2018,9.50,9.50,9.12,9.40,8193,76462
11.09.2018,9.48,9.50,9.30,9.50,1964,18463
10.09.2018,9.28,9.34,9.28,9.34,2064,19208
07.09.2018,9.30,9.30,9.10,9.28,3323,30643
06.09.2018,9.22,9.42,9.10,9.30,8297,76264
05.09.2018,9.30,9.60,9.30,9.34,2880,26944
04.09.2018,9.46,9.46,9.22,9.30,7799,73037
03.09.2018,9.60,9.70,9.40,9.54,10773,103263
31.08.2018,9.20,9.62,9.20,9.62,7183,67687
30.08.2018,9.58,9.58,8.98,9.34,7259,67718
29.08.2018,9.44,9.96,9.44,9.80,6942,66841
28.08.2018,8.72,9.40,8.72,9.40,11486,103164
27.08.2018,8.64,8.72,8.62,8.66,1081,9395
24.08.2018,8.54,8.70,8.54,8.70,6931,60213
23.08.2018,8.46,8.66,8.46,8.50,12776,109075
22.08.2018,8.50,8.90,8.40,8.78,17635,151328
21.08.2018,8.90,9.00,8.24,8.48,6278,54666
20.08.2018,9.60,9.60,8.80,8.96,17883,161805
17.08.2018,9.84,10.00,9.80,9.90,2734,27029
16.08.2018,9.62,9.66,9.60,9.62,1907,18340
14.08.2018,9.68,9.68,9.68,9.68,100,968
13.08.2018,9.52,9.58,9.52,9.54,388,3698
10.08.2018,9.64,9.82,9.52,9.52,2485,23902
09.08.2018,9.86,9.86,9.64,9.66,2238,21816
08.08.2018,9.70,9.88,9.70,9.84,916,8952
07.08.2018,10.00,10.00,9.72,9.72,2075,20296
06.08.2018,10.00,10.00,9.52,10.00,3068,30377
03.08.2018,10.55,10.75,9.90,10.10,5918,61197
