Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,1.90,1.91,1.87,1.90,52478,98957
27.09.2018,1.89,1.91,1.86,1.88,99431,187769
26.09.2018,1.97,1.97,1.87,1.88,535291,1027645
25.09.2018,2.00,2.03,1.98,2.03,45880,91992
24.09.2018,2.01,2.01,1.96,2.01,56040,111573
21.09.2018,1.97,2.02,1.94,2.00,69893,139172
20.09.2018,2.01,2.01,1.97,1.97,24769,49354
19.09.2018,2.12,2.12,1.95,1.99,196488,396507
18.09.2018,1.96,2.15,1.96,2.08,363779,755801
17.09.2018,1.95,1.95,1.91,1.91,26879,51909
14.09.2018,1.94,1.95,1.92,1.94,29028,56066
13.09.2018,1.90,1.94,1.90,1.94,20478,39279
12.09.2018,1.94,1.95,1.91,1.94,47835,92332
11.09.2018,1.93,1.94,1.90,1.94,22305,42907
10.09.2018,1.92,1.94,1.89,1.91,42710,81708
07.09.2018,1.86,1.91,1.86,1.91,83727,158370
06.09.2018,1.97,1.97,1.86,1.86,239148,456564
05.09.2018,2.03,2.03,1.98,1.98,124597,249677
04.09.2018,2.10,2.11,2.00,2.05,103860,212784
03.09.2018,2.15,2.15,2.05,2.07,97753,206128
31.08.2018,2.12,2.13,1.98,2.11,354057,723826
30.08.2018,2.15,2.15,2.11,2.12,125106,266339
29.08.2018,2.13,2.17,2.13,2.14,142899,307317
28.08.2018,2.23,2.23,2.11,2.13,461668,995665
27.08.2018,2.28,2.28,2.21,2.25,236353,530772
24.08.2018,2.28,2.33,2.28,2.30,76469,176090
23.08.2018,2.31,2.34,2.29,2.30,70166,161357
22.08.2018,2.29,2.34,2.29,2.30,31634,73141
21.08.2018,2.34,2.34,2.29,2.30,141715,327384
20.08.2018,2.40,2.40,2.34,2.34,68590,162339
17.08.2018,2.34,2.40,2.32,2.40,82331,193849
16.08.2018,2.35,2.38,2.31,2.35,61886,145083
14.08.2018,2.34,2.39,2.33,2.35,43805,103512
13.08.2018,2.36,2.38,2.33,2.33,61321,143674
10.08.2018,2.39,2.42,2.35,2.37,95189,226542
09.08.2018,2.40,2.41,2.37,2.40,85532,204092
08.08.2018,2.40,2.43,2.38,2.40,54242,129857
07.08.2018,2.38,2.48,2.37,2.39,211915,515808
06.08.2018,2.45,2.45,2.29,2.38,543810,1294783
03.08.2018,2.51,2.60,2.46,2.54,149226,377685
02.08.2018,2.61,2.65,2.46,2.53,409948,1039790
01.08.2018,2.76,2.76,2.60,2.61,321191,856215
31.07.2018,2.64,2.83,2.60,2.76,557602,1525849
30.07.2018,2.59,2.67,2.54,2.64,294849,773087
27.07.2018,2.54,2.58,2.50,2.52,153181,389339
26.07.2018,2.46,2.59,2.43,2.54,285791,719848
25.07.2018,2.56,2.56,2.45,2.48,344098,857661
24.07.2018,2.75,2.82,2.52,2.56,935631,2512309
23.07.2018,2.30,2.69,2.30,2.69,1709181,4376245
20.07.2018,2.29,2.30,2.24,2.28,82876,187080
19.07.2018,2.33,2.33,2.26,2.30,70406,160940
18.07.2018,2.31,2.33,2.29,2.31,34645,79963
17.07.2018,2.25,2.33,2.24,2.31,47643,109244
16.07.2018,2.25,2.28,2.25,2.25,16722,37728
13.07.2018,2.25,2.28,2.25,2.25,32021,72359
12.07.2018,2.28,2.29,2.23,2.28,87992,198256
11.07.2018,2.33,2.33,2.28,2.29,41298,94659
10.07.2018,2.35,2.40,2.31,2.34,85694,201885
09.07.2018,2.31,2.35,2.22,2.35,80041,182618
06.07.2018,2.40,2.43,2.25,2.27,99767,232465
05.07.2018,2.44,2.44,2.33,2.40,107828,256843
04.07.2018,2.34,2.43,2.33,2.42,145955,349060
03.07.2018,2.22,2.34,2.22,2.30,120493,275015
02.07.2018,2.24,2.25,2.20,2.21,85086,189238
29.06.2018,2.22,2.26,2.22,2.23,48983,109707
28.06.2018,2.26,2.26,2.21,2.22,24989,55475
27.06.2018,2.25,2.25,2.22,2.23,18291,40871
26.06.2018,2.21,2.26,2.21,2.24,44149,98868
25.06.2018,2.24,2.24,2.21,2.21,21790,48572
22.06.2018,2.24,2.24,2.21,2.22,17248,38300
21.06.2018,2.26,2.26,2.21,2.24,48025,106910
20.06.2018,2.28,2.29,2.24,2.24,51459,116586
19.06.2018,2.32,2.32,2.25,2.28,58248,132942
18.06.2018,2.30,2.32,2.30,2.32,46641,107687
15.06.2018,2.34,2.34,2.30,2.30,68945,159257
14.06.2018,2.37,2.37,2.31,2.32,69948,163131
13.06.2018,2.42,2.42,2.35,2.37,83761,198759
12.06.2018,2.39,2.44,2.39,2.41,42953,104253
11.06.2018,2.48,2.48,2.40,2.40,37017,89261
08.06.2018,2.38,2.49,2.38,2.46,149844,364452
07.06.2018,2.41,2.43,2.37,2.37,73007,175743
06.06.2018,2.42,2.43,2.35,2.39,71954,172249
05.06.2018,2.40,2.44,2.40,2.40,56948,137166
04.06.2018,2.50,2.53,2.40,2.40,120822,298189
01.06.2018,2.48,2.53,2.40,2.47,161794,400642
30.05.2018,2.50,2.50,2.33,2.40,220824,535539
29.05.2018,2.39,2.45,2.34,2.37,127905,304712
28.05.2018,2.25,2.38,2.23,2.38,232385,532228
25.05.2018,2.28,2.32,2.23,2.29,211797,480650
24.05.2018,2.50,2.53,2.27,2.31,335317,802389
23.05.2018,2.54,2.54,2.46,2.50,52903,131281
22.05.2018,2.54,2.58,2.44,2.55,210698,524840
