Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,0.74,0.75,0.71,0.75,3076,2278
31.10.2018,0.75,0.75,0.74,0.74,360,267
30.10.2018,0.74,0.74,0.74,0.74,2901,2147
29.10.2018,0.71,0.75,0.71,0.75,6364,4699
26.10.2018,0.73,0.75,0.71,0.75,2939,2109
25.10.2018,0.73,0.78,0.73,0.76,10169,7474
24.10.2018,0.81,0.81,0.75,0.75,16624,12712
23.10.2018,0.82,0.82,0.82,0.82,2,2
22.10.2018,0.81,0.82,0.76,0.82,4117,3249
19.10.2018,0.76,0.79,0.76,0.79,2554,1979
18.10.2018,0.82,0.82,0.76,0.79,9358,7219
17.10.2018,0.80,0.80,0.77,0.80,4307,3379
16.10.2018,0.82,0.82,0.79,0.80,4001,3174
15.10.2018,0.79,0.81,0.79,0.81,15426,12386
12.10.2018,0.79,0.81,0.75,0.79,18809,14860
11.10.2018,0.84,0.84,0.76,0.79,6919,5270
10.10.2018,0.79,0.82,0.77,0.81,14083,11504
09.10.2018,0.80,0.82,0.75,0.79,19080,14872
08.10.2018,0.79,0.80,0.75,0.78,19355,14819
05.10.2018,0.85,0.85,0.71,0.79,124948,96054
04.10.2018,0.87,0.89,0.79,0.86,32097,27581
03.10.2018,0.87,0.87,0.82,0.87,4081,3470
02.10.2018,0.87,0.87,0.79,0.85,10790,8731
01.10.2018,0.86,0.93,0.81,0.81,87300,75893
28.09.2018,0.80,0.81,0.76,0.80,15304,11804
27.09.2018,0.81,0.83,0.77,0.80,18622,14940
26.09.2018,0.78,0.85,0.75,0.81,117003,95530
25.09.2018,0.90,0.91,0.80,0.80,107823,91720
24.09.2018,0.67,0.97,0.66,0.93,302967,256595
21.09.2018,0.66,0.66,0.64,0.66,4639,3060
20.09.2018,0.66,0.66,0.63,0.66,390,249
19.09.2018,0.64,0.66,0.64,0.64,1357,870
18.09.2018,0.64,0.64,0.64,0.64,124,79
17.09.2018,0.66,0.66,0.61,0.65,3720,2360
14.09.2018,0.64,0.64,0.61,0.64,3620,2234
13.09.2018,0.64,0.68,0.62,0.62,42051,27097
12.09.2018,0.65,0.65,0.61,0.65,1401,866
11.09.2018,0.62,0.66,0.60,0.66,18673,11396
10.09.2018,0.63,0.67,0.60,0.67,50354,31797
07.09.2018,0.69,0.69,0.63,0.67,5371,3413
06.09.2018,0.68,0.68,0.64,0.68,13773,9192
05.09.2018,0.69,0.71,0.63,0.67,45051,29652
04.09.2018,0.68,0.68,0.68,0.68,5200,3536
03.09.2018,0.70,0.70,0.64,0.68,36556,24052
31.08.2018,0.68,0.70,0.68,0.68,5965,4056
30.08.2018,0.72,0.72,0.72,0.72,10,7
29.08.2018,0.72,0.73,0.70,0.70,11742,8332
28.08.2018,0.72,0.73,0.69,0.73,1849,1334
27.08.2018,0.72,0.73,0.72,0.73,2740,1980
24.08.2018,0.69,0.73,0.65,0.72,29162,19735
23.08.2018,0.73,0.74,0.70,0.74,8251,5784
22.08.2018,0.72,0.75,0.71,0.72,7909,5688
21.08.2018,0.75,0.75,0.75,0.75,35,26
16.08.2018,0.71,0.75,0.71,0.75,112,84
14.08.2018,0.75,0.75,0.71,0.74,5025,3594
13.08.2018,0.76,0.76,0.72,0.75,3010,2208
10.08.2018,0.75,0.77,0.73,0.77,9397,6870
09.08.2018,0.80,0.80,0.72,0.78,8827,6400
08.08.2018,0.77,0.80,0.75,0.75,34569,26721
07.08.2018,0.78,0.78,0.71,0.73,15262,11263
06.08.2018,0.70,0.80,0.70,0.80,15435,12166
03.08.2018,0.75,0.75,0.74,0.75,1655,1225
02.08.2018,0.75,0.75,0.71,0.74,7510,5568
01.08.2018,0.75,0.76,0.68,0.74,32910,22916
31.07.2018,0.75,0.78,0.74,0.78,4702,3496
30.07.2018,0.75,0.78,0.75,0.78,2440,1871
27.07.2018,0.73,0.77,0.72,0.73,35533,26251
26.07.2018,0.70,0.73,0.67,0.73,24575,17161
25.07.2018,0.70,0.71,0.68,0.69,3025,2097
24.07.2018,0.69,0.70,0.69,0.70,5410,3755
23.07.2018,0.69,0.70,0.68,0.70,751,518
20.07.2018,0.68,0.70,0.67,0.70,1530,1030
19.07.2018,0.67,0.70,0.66,0.70,19457,13048
18.07.2018,0.68,0.68,0.68,0.68,1830,1244
17.07.2018,0.70,0.70,0.70,0.70,430,301
16.07.2018,0.68,0.70,0.67,0.70,2800,1903
13.07.2018,0.71,0.71,0.67,0.69,7363,5019
12.07.2018,0.69,0.73,0.67,0.72,13357,9062
11.07.2018,0.72,0.74,0.68,0.72,10609,7431
10.07.2018,0.68,0.71,0.68,0.71,101,69
09.07.2018,0.70,0.74,0.70,0.74,4186,2959
06.07.2018,0.71,0.71,0.70,0.70,2010,1407
05.07.2018,0.71,0.71,0.67,0.70,9105,6191
04.07.2018,0.70,0.70,0.67,0.70,4520,3062
03.07.2018,0.69,0.70,0.67,0.70,4734,3238
02.07.2018,0.67,0.70,0.67,0.70,1010,677
29.06.2018,0.70,0.72,0.66,0.72,6800,4613
28.06.2018,0.70,0.72,0.70,0.72,650,458
27.06.2018,0.73,0.73,0.68,0.72,13360,9331
26.06.2018,0.73,0.73,0.70,0.73,6320,4462
25.06.2018,0.70,0.81,0.70,0.73,59013,44028
22.06.2018,0.70,0.70,0.70,0.70,2000,1400
21.06.2018,0.68,0.71,0.68,0.71,5060,3518
19.06.2018,0.65,0.70,0.64,0.68,30398,19751
15.06.2018,0.73,0.73,0.66,0.72,2494,1722
14.06.2018,0.68,0.72,0.68,0.72,2988,2039
13.06.2018,0.69,0.72,0.68,0.72,6060,4181
12.06.2018,0.69,0.73,0.68,0.72,4637,3171
08.06.2018,0.71,0.74,0.68,0.74,3290,2355
07.06.2018,0.67,0.73,0.67,0.72,10549,7262
06.06.2018,0.65,0.74,0.65,0.74,9605,6540
05.06.2018,0.70,0.70,0.70,0.70,3524,2467
04.06.2018,0.75,0.75,0.70,0.75,3317,2364
01.06.2018,0.75,0.77,0.75,0.76,85,65
30.05.2018,0.73,0.75,0.69,0.75,47221,34911
29.05.2018,0.65,0.72,0.65,0.72,27665,19071
28.05.2018,0.67,0.71,0.62,0.68,54673,36017
25.05.2018,0.71,0.72,0.62,0.65,57234,36729
24.05.2018,0.68,0.73,0.67,0.71,14124,9836
23.05.2018,0.73,0.73,0.68,0.68,16001,11005
22.05.2018,0.74,0.74,0.70,0.74,12464,8818
21.05.2018,0.76,0.76,0.71,0.74,12777,9242
18.05.2018,0.75,0.76,0.71,0.75,11985,8718
17.05.2018,0.76,0.76,0.71,0.76,16406,11904
16.05.2018,0.77,0.77,0.72,0.76,12043,9055
15.05.2018,0.77,0.77,0.72,0.77,7936,5872
14.05.2018,0.84,0.84,0.69,0.77,151926,110286
11.05.2018,0.83,0.87,0.75,0.84,40977,32607
10.05.2018,0.83,0.83,0.75,0.82,47329,37271
09.05.2018,0.88,0.88,0.80,0.84,22772,18536
08.05.2018,0.90,0.90,0.84,0.88,20145,17541
07.05.2018,0.89,0.90,0.86,0.89,6001,5319
04.05.2018,0.93,0.95,0.88,0.94,3657,3246
02.05.2018,0.93,0.93,0.90,0.93,4562,4205
30.04.2018,0.87,0.95,0.87,0.93,31273,27820
27.04.2018,0.98,0.98,0.90,0.95,7278,6635
26.04.2018,0.97,0.98,0.90,0.98,8894,8515
25.04.2018,0.98,0.98,0.91,0.96,24099,22596
24.04.2018,1.02,1.03,0.97,1.00,10988,10913
23.04.2018,1.09,1.09,0.97,0.97,34693,34979
20.04.2018,1.12,1.12,1.05,1.09,17414,18689
19.04.2018,1.05,1.14,1.01,1.09,178340,190860
18.04.2018,0.94,1.13,0.92,1.05,276572,289584
17.04.2018,0.98,0.98,0.93,0.93,51765,48935
16.04.2018,0.91,1.00,0.91,0.96,54503,52701
13.04.2018,0.90,0.97,0.88,0.97,39507,37201
12.04.2018,0.91,0.94,0.88,0.92,43778,39313
11.04.2018,0.94,0.95,0.91,0.93,29426,27154
10.04.2018,0.95,0.96,0.90,0.94,15496,14152
09.04.2018,0.97,0.97,0.92,0.95,4229,3909
06.04.2018,0.94,0.97,0.92,0.97,9198,8618
05.04.2018,1.02,1.02,0.92,0.96,24562,22969
04.04.2018,1.01,1.01,0.95,1.00,7130,7096
03.04.2018,0.98,1.02,0.93,1.01,31730,31531
29.03.2018,0.95,0.98,0.95,0.98,32134,30994
28.03.2018,1.02,1.02,0.91,0.91,78807,75002
27.03.2018,1.03,1.03,1.00,1.02,4668,4699
26.03.2018,1.01,1.03,0.99,1.01,22610,22620
23.03.2018,1.00,1.02,1.00,1.02,6855,6855
22.03.2018,1.01,1.04,1.00,1.01,39189,39522
21.03.2018,1.02,1.05,0.99,1.04,48355,49403
20.03.2018,1.02,1.03,0.99,1.02,67575,68172
19.03.2018,1.03,1.04,1.01,1.03,47268,48300
16.03.2018,1.05,1.07,1.02,1.06,86983,90316
15.03.2018,1.08,1.11,1.01,1.07,254677,271421
14.03.2018,1.14,1.16,1.04,1.05,315635,341168
13.03.2018,1.06,1.27,1.05,1.15,593356,713293
12.03.2018,1.06,1.13,1.03,1.08,75372,82582
09.03.2018,1.06,1.07,1.03,1.07,39010,40924
08.03.2018,1.10,1.10,1.04,1.08,81582,85824
07.03.2018,1.04,1.14,1.01,1.10,172267,187768
06.03.2018,1.05,1.06,1.01,1.04,21156,21974
05.03.2018,1.00,1.05,1.00,1.05,102339,103999
02.03.2018,1.08,1.08,1.01,1.05,114616,119504
01.03.2018,1.11,1.14,1.06,1.07,223555,244648
28.02.2018,1.30,1.30,1.11,1.12,616712,731306
27.02.2018,1.02,1.31,0.98,1.31,473237,546262
26.02.2018,1.01,1.04,0.96,0.99,82202,82849
23.02.2018,1.09,1.09,0.99,1.03,80473,81498
22.02.2018,1.10,1.10,1.05,1.09,16862,17869
21.02.2018,1.06,1.11,1.04,1.10,36166,39037
20.02.2018,1.05,1.08,1.03,1.06,34931,36319
19.02.2018,1.06,1.08,1.02,1.08,30920,32545
16.02.2018,1.15,1.15,1.05,1.08,82872,88644
15.02.2018,1.18,1.18,1.12,1.13,31346,35481
14.02.2018,1.14,1.19,1.12,1.18,46149,53046
13.02.2018,1.21,1.21,1.11,1.14,156782,178513
12.02.2018,1.21,1.27,1.18,1.21,277466,340252
09.02.2018,1.06,1.23,1.02,1.17,650001,745880
08.02.2018,1.29,1.37,1.06,1.06,1017930,1263716
07.02.2018,0.76,0.95,0.76,0.95,436558,368492
06.02.2018,0.75,0.76,0.69,0.71,34409,24455
05.02.2018,0.77,0.77,0.75,0.76,6112,4623
02.02.2018,0.76,0.78,0.75,0.78,2223,1690
01.02.2018,0.75,0.77,0.75,0.77,110,83
31.01.2018,0.78,0.79,0.74,0.77,18674,14034
30.01.2018,0.79,0.80,0.74,0.79,34789,26613
29.01.2018,0.83,0.83,0.79,0.80,35422,28488
26.01.2018,0.83,0.88,0.83,0.86,85791,71848
25.01.2018,0.80,0.83,0.79,0.83,355,283
24.01.2018,0.81,0.83,0.79,0.83,24943,20236
23.01.2018,0.82,0.84,0.82,0.83,6280,5185
22.01.2018,0.79,0.84,0.79,0.82,36337,29907
19.01.2018,0.80,0.83,0.79,0.81,1957,1578
18.01.2018,0.81,0.82,0.79,0.81,2799,2237
17.01.2018,0.81,0.83,0.80,0.83,2955,2387
16.01.2018,0.83,0.83,0.83,0.83,2000,1660
15.01.2018,0.84,0.85,0.76,0.84,35379,28764
12.01.2018,0.79,0.84,0.79,0.84,7702,6346
11.01.2018,0.83,0.83,0.79,0.82,8158,6564
10.01.2018,0.82,0.82,0.79,0.82,2386,1917
09.01.2018,0.81,0.85,0.79,0.83,15291,12352
08.01.2018,0.85,0.88,0.80,0.85,24864,20686
05.01.2018,0.83,0.85,0.79,0.84,22055,17918
04.01.2018,0.87,0.89,0.83,0.83,15374,13077
03.01.2018,0.88,0.88,0.83,0.85,45623,38985
29.12.2017,0.72,0.84,0.72,0.84,89681,69486
28.12.2017,0.71,0.74,0.71,0.73,13740,9973
27.12.2017,0.76,0.83,0.71,0.71,190421,149773
22.12.2017,0.74,0.78,0.74,0.77,25116,18726
21.12.2017,0.81,0.81,0.76,0.76,34981,26874
20.12.2017,0.79,0.82,0.75,0.77,127306,97410
19.12.2017,0.87,0.89,0.79,0.79,40200,33164
18.12.2017,0.90,0.95,0.85,0.90,112854,101870
15.12.2017,0.87,0.89,0.86,0.89,39317,34662
14.12.2017,0.85,0.87,0.85,0.87,23892,20330
13.12.2017,0.85,0.86,0.82,0.86,27948,23771
12.12.2017,0.86,0.86,0.79,0.83,28632,23361
11.12.2017,0.82,0.86,0.74,0.86,106017,88600
08.12.2017,0.82,0.82,0.76,0.79,18093,14371
07.12.2017,0.69,0.81,0.68,0.81,79638,60515
06.12.2017,0.62,0.68,0.62,0.68,8081,5318
05.12.2017,0.68,0.70,0.62,0.68,30634,20043
04.12.2017,0.68,0.68,0.64,0.68,26475,17432
01.12.2017,0.69,0.69,0.65,0.69,88769,59097
30.11.2017,0.68,0.72,0.67,0.70,29412,20320
29.11.2017,0.72,0.77,0.71,0.73,32976,23902
28.11.2017,0.79,0.79,0.73,0.77,42364,31905
27.11.2017,0.76,0.80,0.76,0.78,61534,47491
24.11.2017,0.80,0.81,0.75,0.78,31406,24531
23.11.2017,0.80,0.83,0.76,0.83,45929,36165
22.11.2017,0.78,0.81,0.76,0.80,17938,14042
21.11.2017,0.85,0.86,0.78,0.79,100587,81924
20.11.2017,0.90,1.04,0.81,0.85,320208,302901
17.11.2017,0.91,0.91,0.87,0.91,2759,2476
16.11.2017,0.93,0.93,0.87,0.91,5129,4671
15.11.2017,0.94,0.94,0.85,0.92,55586,49278
14.11.2017,1.00,1.03,0.91,0.94,57245,55049
13.11.2017,0.87,1.01,0.79,0.99,299951,275756
10.11.2017,0.88,0.88,0.82,0.85,7425,6310
09.11.2017,0.90,0.90,0.82,0.88,31168,26251
08.11.2017,0.90,0.92,0.87,0.90,2302,2039
07.11.2017,0.88,0.95,0.85,0.90,108237,97687
06.11.2017,0.89,0.89,0.86,0.89,13094,11317
03.11.2017,0.99,0.99,0.86,0.89,81095,74693
02.11.2017,0.97,1.03,0.92,0.99,87794,87071
31.10.2017,0.93,0.99,0.92,0.97,43310,41060
30.10.2017,0.91,0.92,0.87,0.92,75748,67700
27.10.2017,0.87,1.01,0.83,0.90,233814,217766
26.10.2017,0.81,0.88,0.76,0.87,109735,89156
25.10.2017,0.81,0.88,0.75,0.83,201647,160866
24.10.2017,0.84,0.85,0.81,0.85,75568,63260
23.10.2017,0.90,0.90,0.81,0.87,123446,102093
20.10.2017,0.94,0.94,0.85,0.88,106160,92077
19.10.2017,0.93,0.95,0.88,0.95,44819,40612
18.10.2017,1.00,1.00,0.81,0.94,428956,392429
17.10.2017,1.05,1.14,0.96,1.00,284346,300134
16.10.2017,1.10,1.19,0.99,1.02,241299,265749
13.10.2017,0.95,1.18,0.95,1.10,373152,405644
12.10.2017,0.94,0.97,0.90,0.95,51893,48132
11.10.2017,0.93,0.96,0.88,0.94,100643,90931
10.10.2017,1.01,1.02,0.92,0.94,91700,87441
09.10.2017,1.02,1.03,0.94,1.00,86881,85758
06.10.2017,1.00,1.07,0.97,1.02,141490,143319
05.10.2017,1.20,1.20,0.92,0.97,637318,644383
04.10.2017,1.32,1.42,1.26,1.30,108839,141978
03.10.2017,1.33,1.48,1.32,1.41,84418,119033
02.10.2017,1.33,1.48,1.30,1.40,110107,152699
29.09.2017,1.49,1.53,1.35,1.40,163265,233700
28.09.2017,1.65,1.78,1.50,1.50,393474,630903
27.09.2017,1.51,1.74,1.51,1.66,291937,484765
26.09.2017,1.60,1.64,1.53,1.55,110474,172929
25.09.2017,1.66,1.67,1.53,1.63,117239,186075
22.09.2017,1.65,1.68,1.59,1.66,168483,273145
21.09.2017,1.78,1.83,1.65,1.65,345460,597687
20.09.2017,1.58,1.95,1.53,1.77,1197663,2120288
19.09.2017,1.55,1.65,1.47,1.55,721090,1137783
18.09.2017,1.60,1.75,1.53,1.53,849165,1377442
15.09.2017,1.68,1.72,1.37,1.55,1668809,2531019
14.09.2017,1.85,2.00,1.67,1.68,625588,1103810
13.09.2017,2.77,2.77,2.00,2.00,309751,706369
12.09.2017,2.80,2.87,2.70,2.80,71873,198656
08.09.2017,5.40,5.43,5.05,5.10,28412,146959
07.09.2017,5.71,5.71,5.39,5.49,8917,49360
06.09.2017,5.72,5.75,5.69,5.69,695,3969
05.09.2017,5.83,5.83,5.65,5.75,4606,26450
04.09.2017,5.85,6.00,5.55,5.75,8857,51012
01.09.2017,6.00,6.00,5.81,5.85,1296,7638
31.08.2017,5.82,6.00,5.81,5.90,12776,76436
30.08.2017,5.97,5.97,5.96,5.96,180,1074
29.08.2017,5.96,5.99,5.80,5.97,1274,7541
28.08.2017,5.98,5.98,5.85,5.90,2230,13121
25.08.2017,5.95,6.00,5.91,5.95,1722,10213
24.08.2017,6.02,6.02,6.00,6.00,3530,21180
23.08.2017,6.08,6.08,5.92,5.97,1355,8068
22.08.2017,6.00,6.04,6.00,6.04,278,1673
21.08.2017,6.07,6.07,6.07,6.07,3,18
18.08.2017,6.05,6.05,5.94,6.04,2678,15986
17.08.2017,6.05,6.05,5.98,6.05,367,2207
16.08.2017,6.01,6.10,5.97,6.10,1785,10717
14.08.2017,6.08,6.11,6.00,6.11,1209,7269
11.08.2017,6.10,6.10,5.87,5.98,1180,7006
10.08.2017,6.12,6.12,6.00,6.08,872,5316
09.08.2017,6.11,6.12,6.00,6.12,1566,9506
08.08.2017,6.11,6.12,6.10,6.10,4100,25021
07.08.2017,6.08,6.12,6.05,6.12,3137,19023
04.08.2017,6.07,6.08,6.05,6.07,2196,13321
03.08.2017,6.05,6.08,6.05,6.08,1883,11431
02.08.2017,6.12,6.15,6.03,6.07,3697,22433
01.08.2017,6.12,6.17,6.05,6.17,2722,16661
31.07.2017,6.20,6.20,6.10,6.12,856,5253
28.07.2017,6.28,6.28,6.09,6.13,4717,28829
27.07.2017,6.28,6.28,6.14,6.14,9651,59373
26.07.2017,6.30,6.30,6.18,6.25,3312,20517
25.07.2017,6.32,6.32,6.21,6.22,15297,95612
24.07.2017,6.31,6.32,6.25,6.28,1444,9073
21.07.2017,6.35,6.36,6.24,6.30,1881,11823
20.07.2017,6.31,6.39,6.25,6.36,1900,11941
19.07.2017,6.45,6.45,6.40,6.45,608,3907
18.07.2017,6.25,6.39,6.25,6.35,4346,27360
17.07.2017,6.24,6.28,6.24,6.28,427,2669
14.07.2017,6.34,6.34,6.22,6.28,1846,11608
13.07.2017,6.30,6.34,6.25,6.31,2131,13439
12.07.2017,6.35,6.35,6.20,6.29,1904,11982
11.07.2017,6.38,6.38,6.26,6.36,330,2089
10.07.2017,6.38,6.38,6.28,6.35,422,2660
07.07.2017,6.37,6.38,6.27,6.37,6773,43025
06.07.2017,6.35,6.37,6.29,6.37,3056,19403
05.07.2017,6.45,6.45,6.25,6.38,3657,23074
04.07.2017,6.49,6.49,6.27,6.42,6437,40659
03.07.2017,6.47,6.53,6.47,6.49,1785,11624
30.06.2017,6.54,6.54,6.49,6.49,1144,7427
29.06.2017,6.28,6.54,6.18,6.54,4012,25133
28.06.2017,6.60,6.60,6.23,6.29,8233,51782
27.06.2017,6.45,6.61,6.39,6.39,1815,11677
26.06.2017,6.62,6.62,6.47,6.61,1487,9639
23.06.2017,6.55,6.63,6.50,6.55,463,3022
22.06.2017,6.54,6.63,6.54,6.63,158,1034
21.06.2017,6.63,6.63,6.63,6.63,79,524
20.06.2017,6.50,6.63,6.50,6.63,1516,9871
19.06.2017,6.64,6.64,6.63,6.64,720,4779
16.06.2017,6.64,6.64,6.50,6.64,648,4247
14.06.2017,6.65,6.66,6.35,6.65,1405,9250
13.06.2017,6.69,6.69,6.66,6.67,655,4370
12.06.2017,6.73,6.73,6.30,6.70,514,3370
09.06.2017,6.62,6.73,6.62,6.62,440,2934
08.06.2017,6.65,6.65,6.65,6.65,11,73
07.06.2017,6.60,6.73,6.50,6.73,210,1386
06.06.2017,6.53,6.77,6.50,6.73,6449,42053
05.06.2017,6.87,6.87,6.52,6.67,8124,54255
02.06.2017,6.77,6.89,6.72,6.84,1734,11728
01.06.2017,6.77,6.77,6.70,6.75,4049,27254
31.05.2017,6.40,6.79,6.40,6.55,3709,24263
30.05.2017,6.38,6.40,6.38,6.40,639,4083
29.05.2017,6.25,6.39,6.24,6.24,7722,48445
26.05.2017,6.29,6.29,6.25,6.28,1969,12364
25.05.2017,6.30,6.40,6.24,6.33,5272,33174
24.05.2017,6.40,6.40,6.32,6.32,1481,9413
23.05.2017,6.36,6.48,6.36,6.48,2734,17482
22.05.2017,6.44,6.44,6.24,6.43,3519,22365
19.05.2017,6.74,6.74,6.30,6.46,7962,51442
18.05.2017,6.79,6.79,6.25,6.74,8260,54579
17.05.2017,6.71,6.79,6.66,6.79,31452,211919
16.05.2017,6.75,6.79,6.68,6.68,4740,31816
15.05.2017,6.75,6.80,6.66,6.75,3269,22038
12.05.2017,6.99,7.00,6.80,6.80,17781,121139
11.05.2017,6.90,7.00,6.86,6.99,3601,25036
10.05.2017,6.96,7.00,6.89,7.00,897,6249
09.05.2017,6.99,7.05,6.82,7.04,3873,26852
08.05.2017,7.24,7.25,6.85,7.06,8905,62226
05.05.2017,7.20,7.20,7.13,7.13,2437,17376
04.05.2017,7.29,7.29,6.81,7.15,14649,102136
02.05.2017,7.40,7.40,7.20,7.20,3414,24702
28.04.2017,7.38,7.40,7.30,7.40,4382,32306
27.04.2017,7.40,7.40,7.33,7.37,425,3128
26.04.2017,7.40,7.44,7.31,7.35,4037,29820
25.04.2017,7.38,7.44,7.35,7.43,2330,17219
24.04.2017,7.38,7.50,7.30,7.39,7255,53289
21.04.2017,7.54,7.54,7.35,7.52,3232,24285
20.04.2017,7.54,7.54,7.35,7.53,869,6427
19.04.2017,7.55,7.55,7.44,7.54,8022,60173
18.04.2017,7.40,7.56,7.40,7.54,3679,27414
13.04.2017,7.35,7.45,7.35,7.45,4010,29659
12.04.2017,7.44,7.44,7.30,7.35,3393,24929
11.04.2017,7.54,7.54,7.40,7.40,6375,47239
10.04.2017,7.56,7.56,7.46,7.50,2514,18841
07.04.2017,7.55,7.55,7.48,7.54,2416,18182
06.04.2017,7.58,7.58,7.38,7.48,4668,34707
05.04.2017,7.51,7.55,7.38,7.40,24100,179050
04.04.2017,7.60,7.60,7.40,7.50,17789,133450
03.04.2017,8.38,8.38,7.58,7.58,46649,368868
31.03.2017,8.47,8.47,8.46,8.46,1068,9044
30.03.2017,8.47,8.47,8.46,8.47,901,7631
29.03.2017,8.40,8.48,8.36,8.48,755,6331
28.03.2017,8.43,8.50,8.43,8.46,782,6625
27.03.2017,8.50,8.58,8.46,8.46,1602,13568
24.03.2017,8.63,8.63,8.40,8.60,2585,21864
23.03.2017,8.57,8.60,8.57,8.58,9453,81209
22.03.2017,8.50,8.59,8.39,8.55,1940,16498
21.03.2017,8.48,8.60,8.32,8.32,8086,69146
20.03.2017,8.41,8.49,8.41,8.48,1079,9127
17.03.2017,8.40,8.49,8.40,8.49,551,4641
16.03.2017,8.38,8.40,8.35,8.40,4115,34474
15.03.2017,8.45,8.45,8.38,8.38,5360,45012
14.03.2017,8.33,8.49,8.31,8.37,2866,23978
13.03.2017,8.51,8.51,8.35,8.42,7985,67444
10.03.2017,8.50,8.55,8.48,8.49,2735,23249
09.03.2017,8.55,8.59,8.50,8.59,4773,40772
