Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,1.57,1.67,1.57,1.65,20050,32428
27.09.2018,1.58,1.58,1.58,1.58,100,158
26.09.2018,1.62,1.66,1.50,1.58,44141,67335
25.09.2018,1.55,1.62,1.55,1.62,8240,13019
24.09.2018,1.56,1.57,1.54,1.54,2021,3153
21.09.2018,1.51,1.57,1.46,1.56,9635,14658
20.09.2018,1.49,1.52,1.45,1.51,4561,6766
19.09.2018,1.46,1.55,1.45,1.45,9700,14297
18.09.2018,1.46,1.46,1.42,1.46,3473,4988
17.09.2018,1.45,1.47,1.40,1.46,3463,4976
14.09.2018,1.42,1.48,1.42,1.48,11833,17123
13.09.2018,1.37,1.42,1.36,1.42,16587,22915
12.09.2018,1.49,1.55,1.35,1.39,56058,79157
11.09.2018,1.55,1.59,1.49,1.55,12741,19262
10.09.2018,1.57,1.57,1.57,1.57,791,1242
07.09.2018,1.54,1.57,1.54,1.57,3200,4949
06.09.2018,1.55,1.57,1.49,1.55,28799,43356
05.09.2018,1.61,1.61,1.50,1.55,23756,36119
04.09.2018,1.67,1.67,1.51,1.60,52443,82459
03.09.2018,1.69,1.69,1.65,1.68,3768,6310
31.08.2018,1.68,1.69,1.65,1.69,6146,10189
30.08.2018,1.74,1.74,1.65,1.70,36290,60819
29.08.2018,1.78,1.78,1.78,1.78,316,562
28.08.2018,1.78,1.78,1.75,1.78,7036,12352
27.08.2018,1.76,1.77,1.75,1.77,10785,18966
24.08.2018,1.83,1.83,1.80,1.80,2430,4376
23.08.2018,1.85,1.85,1.82,1.83,3397,6194
22.08.2018,1.84,1.84,1.83,1.84,1210,2221
21.08.2018,1.85,1.85,1.79,1.85,35241,63433
20.08.2018,1.85,1.87,1.83,1.87,1630,3008
17.08.2018,1.86,1.90,1.83,1.85,9991,18418
16.08.2018,1.94,1.95,1.86,1.91,13853,26455
14.08.2018,1.88,1.94,1.82,1.94,17356,32842
13.08.2018,1.90,1.92,1.85,1.90,6213,11656
10.08.2018,1.93,1.93,1.92,1.93,2490,4781
09.08.2018,1.91,1.92,1.86,1.92,12223,22958
08.08.2018,1.91,1.91,1.87,1.90,3771,7067
07.08.2018,1.91,1.91,1.90,1.91,890,1693
06.08.2018,1.95,1.95,1.90,1.91,2213,4222
03.08.2018,1.95,1.95,1.90,1.95,2377,4554
02.08.2018,1.95,1.95,1.95,1.95,100,195
01.08.2018,1.92,1.97,1.92,1.95,2064,3984
31.07.2018,1.92,1.98,1.92,1.97,7319,14243
30.07.2018,1.98,2.00,1.93,1.96,3449,6706
27.07.2018,1.84,2.00,1.84,1.98,42612,82317
26.07.2018,1.85,1.89,1.84,1.89,2160,4005
25.07.2018,1.90,1.90,1.84,1.88,802,1476
24.07.2018,1.93,1.93,1.84,1.85,12303,22797
23.07.2018,1.89,1.93,1.83,1.93,15446,29041
20.07.2018,1.92,1.92,1.84,1.84,6549,12107
19.07.2018,1.93,1.93,1.88,1.93,1779,3375
18.07.2018,1.91,1.93,1.89,1.93,4305,8214
17.07.2018,1.91,1.95,1.91,1.91,1115,2130
16.07.2018,2.00,2.00,1.86,1.95,7240,13920
13.07.2018,2.00,2.00,2.00,2.00,70,140
12.07.2018,1.98,2.02,1.97,2.02,3220,6400
11.07.2018,2.02,2.02,1.92,1.99,6656,12940
