Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,50.40,51.00,50.40,51.00,4785,242425
26.09.2018,50.60,50.80,50.00,50.80,38086,1927002
25.09.2018,51.00,51.00,50.60,50.60,24617,1253849
24.09.2018,48.60,52.20,48.60,50.60,5590,283361
21.09.2018,49.90,50.40,49.50,50.00,455,22831
20.09.2018,49.40,50.80,49.40,50.00,2227,111422
19.09.2018,51.00,54.00,49.60,50.60,633,31949
18.09.2018,52.00,52.00,50.80,51.00,82,4202
17.09.2018,52.40,52.40,52.00,52.40,10120,530281
14.09.2018,51.60,54.00,51.60,52.40,24543,1281955
13.09.2018,52.80,52.80,52.80,52.80,282,14890
12.09.2018,53.80,53.80,52.40,53.00,14615,770703
11.09.2018,50.00,52.60,50.00,52.60,1311,67798
10.09.2018,49.90,52.00,48.40,52.00,1440,70818
07.09.2018,49.10,50.00,49.10,49.90,9956,497299
06.09.2018,49.90,49.90,46.20,49.70,56438,2723295
05.09.2018,51.00,52.00,49.00,50.00,3048,152984
04.09.2018,54.40,55.00,51.00,51.00,4485,232518
03.09.2018,57.00,57.00,54.60,55.00,5726,318630
31.08.2018,53.80,57.00,53.80,57.00,107788,5965457
30.08.2018,57.00,57.00,54.20,56.00,20792,1154646
29.08.2018,53.20,57.00,53.20,57.00,21180,1171163
28.08.2018,53.00,55.60,53.00,55.60,120404,6502241
27.08.2018,53.00,53.00,52.00,53.00,6812,361022
24.08.2018,50.80,53.00,50.60,53.00,1891,97458
23.08.2018,49.70,50.80,49.70,50.80,2973,150102
22.08.2018,48.80,50.80,48.80,50.80,45826,2308986
21.08.2018,48.80,49.30,48.30,49.30,3065,149591
20.08.2018,48.80,48.80,47.80,47.80,87,4201
17.08.2018,48.40,48.40,48.40,48.40,30,1452
16.08.2018,47.50,48.40,47.50,48.40,20050,970396
14.08.2018,48.00,48.00,48.00,48.00,664,31872
13.08.2018,47.50,48.00,47.50,48.00,246,11708
10.08.2018,48.80,48.80,47.50,48.00,4249,204038
08.08.2018,48.60,48.80,47.70,48.10,47720,2290661
07.08.2018,48.60,48.90,47.60,47.60,320,15424
06.08.2018,48.30,48.30,48.00,48.00,18605,898576
03.08.2018,49.80,49.80,48.10,48.10,639,30991
02.08.2018,49.00,49.20,48.00,49.00,13446,659284
01.08.2018,48.80,49.00,47.70,49.00,5102,249598
31.07.2018,48.10,48.90,47.30,48.90,6149,297559
30.07.2018,48.60,48.60,48.00,48.00,1269,61172
27.07.2018,47.70,48.60,47.70,48.30,31591,1517061
26.07.2018,48.20,48.20,47.70,47.70,6148,295025
25.07.2018,48.00,48.00,48.00,48.00,60,2880
24.07.2018,49.30,49.30,48.00,48.00,16341,784585
