Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,4.50,4.60,4.46,4.48,22431,100957
26.09.2018,4.50,4.76,4.48,4.53,7220,33115
25.09.2018,4.50,4.76,4.46,4.50,10041,45710
24.09.2018,4.90,4.90,4.43,4.80,36866,172071
21.09.2018,5.00,5.00,4.90,4.90,2720,13524
20.09.2018,5.00,5.00,4.90,5.00,611,3024
19.09.2018,5.22,5.68,4.72,5.00,70017,353081
18.09.2018,5.48,5.60,5.00,5.22,30042,157278
17.09.2018,5.50,5.50,5.48,5.50,1637,9000
14.09.2018,5.56,5.56,5.40,5.56,1023,5687
13.09.2018,5.56,5.56,5.46,5.54,1360,7461
12.09.2018,5.58,5.68,5.40,5.56,1708,9335
11.09.2018,5.68,5.68,5.40,5.66,1465,8025
10.09.2018,5.28,5.68,5.28,5.68,9441,52247
07.09.2018,5.28,5.40,5.24,5.28,20164,106224
06.09.2018,5.58,5.60,5.40,5.60,10685,57792
05.09.2018,5.60,5.64,5.42,5.60,2075,11522
04.09.2018,5.80,5.80,5.50,5.60,4985,27748
03.09.2018,5.90,5.90,5.40,5.82,35978,202008
31.08.2018,6.14,6.26,5.94,5.94,46648,286735
30.08.2018,6.20,6.36,6.20,6.28,3020,18806
29.08.2018,6.34,6.34,6.16,6.30,5817,36292
28.08.2018,6.36,6.38,6.12,6.32,7240,45609
27.08.2018,6.36,6.36,6.20,6.30,7746,49147
24.08.2018,6.40,6.40,6.20,6.36,3235,20472
23.08.2018,6.30,6.50,6.12,6.32,29739,187240
22.08.2018,6.24,6.24,6.08,6.22,1470,9153
21.08.2018,6.04,6.24,5.92,6.24,4352,26725
20.08.2018,6.20,6.20,6.04,6.20,1468,9084
17.08.2018,6.24,6.24,6.24,6.24,12,75
16.08.2018,6.26,6.26,6.00,6.22,4646,28267
14.08.2018,6.28,6.28,6.10,6.28,3463,21558
13.08.2018,6.18,6.18,6.00,6.18,3579,21783
10.08.2018,6.28,6.28,6.18,6.18,18915,118359
09.08.2018,6.24,6.30,6.20,6.28,4931,30795
08.08.2018,6.28,6.28,6.16,6.22,14434,89919
07.08.2018,6.30,6.30,6.22,6.24,6719,42116
06.08.2018,6.38,6.40,6.20,6.30,102198,649167
03.08.2018,5.94,5.94,5.90,5.94,3843,22827
02.08.2018,6.02,6.02,5.86,5.90,4188,24825
01.08.2018,6.08,6.08,6.04,6.08,2226,13505
31.07.2018,6.10,6.10,5.92,6.08,5078,30746
30.07.2018,5.96,6.20,5.96,6.14,3952,24001
27.07.2018,6.40,6.40,5.96,6.08,8603,53127
26.07.2018,5.68,6.10,5.68,6.08,10507,62009
25.07.2018,5.60,5.66,5.60,5.66,769,4336
24.07.2018,5.58,5.66,5.32,5.60,8285,45247
23.07.2018,5.54,5.58,5.32,5.58,1344,7305
20.07.2018,5.30,5.54,5.30,5.54,154,819
19.07.2018,5.56,5.66,5.16,5.54,4286,23414
18.07.2018,5.74,5.74,5.56,5.66,48800,279455
17.07.2018,5.70,5.72,5.64,5.70,7225,41187
16.07.2018,5.48,5.90,5.48,5.60,101392,578110
12.07.2018,5.36,5.36,5.36,5.36,200,1072
11.07.2018,5.24,5.40,5.18,5.36,4636,24309
10.07.2018,5.38,5.44,5.24,5.40,2554,13558
09.07.2018,5.46,5.46,5.46,5.46,182,994
06.07.2018,5.38,5.50,5.38,5.46,1187,6389
05.07.2018,5.42,5.42,5.42,5.42,100,542
04.07.2018,5.24,5.24,5.16,5.20,61354,317835
03.07.2018,5.18,5.24,5.18,5.22,1765,9213
02.07.2018,5.30,5.30,5.24,5.28,4090,21645
29.06.2018,5.30,5.80,5.30,5.48,16194,88792
28.06.2018,5.38,5.38,5.16,5.30,1846,9641
27.06.2018,5.18,5.38,5.16,5.38,2086,10831
