Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,2.27,2.27,2.26,2.27,52,118
31.10.2018,2.27,2.27,2.27,2.27,2,5
30.10.2018,2.27,2.27,2.27,2.27,2,5
29.10.2018,2.27,2.27,2.16,2.16,2549,5506
26.10.2018,2.27,2.27,2.27,2.27,2,5
25.10.2018,2.27,2.27,2.22,2.27,685,1521
24.10.2018,2.27,2.27,2.22,2.27,620,1377
23.10.2018,2.27,2.27,2.27,2.27,752,1707
22.10.2018,2.27,2.27,2.27,2.27,752,1707
19.10.2018,2.22,2.27,2.22,2.27,151,335
18.10.2018,2.27,2.27,2.27,2.27,2,5
17.10.2018,2.27,2.27,2.21,2.27,4584,10152
16.10.2018,2.27,2.27,2.27,2.27,2,5
15.10.2018,2.20,2.27,2.18,2.27,4028,8793
12.10.2018,2.16,2.16,2.16,2.16,2,4
11.10.2018,2.00,2.18,2.00,2.18,13625,28256
10.10.2018,1.89,1.89,1.85,1.85,702,1327
09.10.2018,1.99,1.99,1.82,1.99,10,20
08.10.2018,1.99,1.99,1.92,1.99,55,106
05.10.2018,1.99,1.99,1.92,1.99,36,70
04.10.2018,1.99,1.99,1.96,1.96,4,8
03.10.2018,1.89,1.89,1.89,1.89,1420,2684
02.10.2018,1.87,1.87,1.87,1.87,1,2
01.10.2018,1.87,1.87,1.82,1.87,4,7
28.09.2018,1.87,1.87,1.87,1.87,1,2
27.09.2018,1.89,1.89,1.87,1.87,1384,2591
26.09.2018,1.90,1.90,1.82,1.86,3550,6686
25.09.2018,1.95,1.95,1.94,1.94,52,101
24.09.2018,1.95,1.95,1.90,1.95,786,1519
21.09.2018,1.98,1.98,1.95,1.95,2779,5439
20.09.2018,2.05,2.05,1.95,1.98,1274,2492
19.09.2018,2.03,2.03,2.03,2.03,293,595
18.09.2018,2.05,2.05,2.03,2.03,500,1015
17.09.2018,2.05,2.05,1.95,2.05,13198,27033
14.09.2018,2.05,2.05,2.05,2.05,317,650
13.09.2018,2.13,2.13,2.08,2.12,637,1342
12.09.2018,2.16,2.16,2.15,2.15,382,825
11.09.2018,2.08,2.17,2.08,2.17,1097,2282
10.09.2018,2.17,2.17,2.08,2.17,103,214
07.09.2018,2.17,2.17,2.17,2.17,2,4
06.09.2018,2.20,2.20,2.20,2.20,1,2
05.09.2018,2.20,2.20,2.20,2.20,2,4
04.09.2018,2.20,2.20,2.18,2.18,1001,2182
03.09.2018,2.20,2.20,2.08,2.20,107,223
31.08.2018,2.20,2.20,2.20,2.20,2,4
30.08.2018,2.20,2.20,2.20,2.20,2,4
29.08.2018,2.20,2.20,2.20,2.20,2,4
28.08.2018,2.20,2.20,2.20,2.20,2,4
27.08.2018,2.20,2.20,2.12,2.20,1502,3184
