Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,94.00,94.00,94.00,94.00,9,846
26.09.2018,93.20,95.00,93.20,94.00,870,81883
25.09.2018,94.00,95.00,94.00,95.00,132,12454
24.09.2018,94.80,95.00,93.60,95.00,234,22130
21.09.2018,93.80,95.00,93.80,95.00,212,20013
20.09.2018,93.80,94.00,93.80,94.00,142,13322
19.09.2018,91.80,93.80,91.00,93.80,54,4989
18.09.2018,92.00,92.00,85.40,91.80,695,62899
17.09.2018,93.00,94.00,92.00,92.00,294,27271
14.09.2018,96.00,96.00,93.00,94.00,231,21776
13.09.2018,98.20,98.20,94.00,94.00,360,34068
12.09.2018,99.00,99.00,94.00,97.80,767,73772
11.09.2018,96.00,98.80,96.00,98.80,35,3417
10.09.2018,100.50,100.50,96.00,96.00,96,9425
07.09.2018,100.00,103.00,97.00,97.00,1161,113048
06.09.2018,103.50,103.50,98.00,98.00,172,17033
05.09.2018,100.00,100.00,98.40,100.00,130,12898
04.09.2018,100.00,100.50,98.60,100.00,759,76011
03.09.2018,103.00,103.00,95.80,100.00,651,65616
31.08.2018,102.50,104.00,102.50,104.00,108,11082
30.08.2018,103.00,103.00,102.50,102.50,91,9369
29.08.2018,103.50,103.50,102.50,102.50,446,46052
28.08.2018,104.00,104.00,103.00,103.50,523,54223
27.08.2018,103.50,104.50,103.00,103.50,44,4556
24.08.2018,104.00,104.00,104.00,104.00,115,11960
23.08.2018,103.50,104.50,101.50,104.00,117,12069
22.08.2018,102.50,104.50,102.50,104.00,69,7127
21.08.2018,104.00,104.50,102.50,104.50,221,22663
20.08.2018,103.50,104.00,103.00,104.00,163,16834
17.08.2018,106.00,106.00,105.00,105.00,115,12130
16.08.2018,105.00,105.00,103.50,104.00,65,6764
14.08.2018,104.50,104.50,104.00,104.00,22,2289
13.08.2018,108.00,108.00,101.50,104.00,640,66098
10.08.2018,109.50,109.50,108.00,108.00,80,8697
09.08.2018,109.00,110.00,109.00,110.00,229,25171
08.08.2018,111.00,113.00,110.00,110.00,306,33710
07.08.2018,112.50,112.50,110.50,110.50,93,10353
06.08.2018,113.00,113.50,112.00,113.00,46,5183
03.08.2018,113.00,113.00,112.00,112.00,197,22136
02.08.2018,113.50,113.50,112.00,113.00,322,36356
01.08.2018,114.00,114.00,113.50,113.50,244,27768
31.07.2018,113.00,115.00,113.00,114.00,425,48561
30.07.2018,111.00,113.50,109.50,112.50,224,25105
27.07.2018,111.50,113.50,106.50,113.50,339,37812
26.07.2018,112.00,117.50,110.00,111.50,561,63884
25.07.2018,106.00,107.00,105.50,107.00,210,22237
24.07.2018,103.50,106.50,103.00,106.00,171,17947
23.07.2018,102.00,104.50,101.00,102.00,193,19786
20.07.2018,104.50,104.50,101.00,101.00,981,99972
19.07.2018,102.50,104.50,101.50,104.50,144,14817
18.07.2018,101.00,103.00,101.00,103.00,143,14508
17.07.2018,100.50,102.50,100.50,101.50,321,32531
16.07.2018,103.00,103.00,100.00,100.00,851,85841
13.07.2018,102.50,103.50,102.00,102.50,635,64815
12.07.2018,103.00,103.00,103.00,103.00,42,4326
11.07.2018,104.50,104.50,102.50,102.50,243,25065
10.07.2018,103.50,104.50,103.00,104.50,118,12305
09.07.2018,105.50,105.50,104.00,104.00,330,34626
06.07.2018,107.00,107.00,105.50,105.50,17,1798
05.07.2018,104.00,107.00,103.50,107.00,50,5329
04.07.2018,107.00,107.00,103.50,106.50,324,34011
03.07.2018,108.00,108.00,106.00,106.50,27,2890
02.07.2018,110.00,110.00,105.00,108.50,119,12636
29.06.2018,110.50,110.50,110.50,110.50,15,1658
28.06.2018,109.00,112.00,107.00,111.50,216,23555
27.06.2018,111.00,111.00,107.00,109.00,130,14165
25.06.2018,112.00,115.00,110.00,110.00,307,34918
22.06.2018,109.50,110.00,109.50,110.00,47,5157
21.06.2018,111.50,112.00,111.50,112.00,85,9515
20.06.2018,110.00,110.00,110.00,110.00,22,2420
19.06.2018,111.00,111.00,109.00,110.00,160,17565
18.06.2018,112.50,113.00,111.00,111.00,59,6610
15.06.2018,112.00,114.00,112.00,113.00,114,12843
14.06.2018,110.00,113.50,110.00,111.00,34,3794
13.06.2018,118.00,118.00,110.00,115.00,159,18130
12.06.2018,119.50,119.50,114.50,117.00,585,68101
11.06.2018,123.50,125.00,115.00,118.00,1061,130024
08.06.2018,118.00,121.00,118.00,121.00,1105,130770
07.06.2018,112.50,118.00,112.50,116.50,1243,143356
06.06.2018,109.00,113.00,108.50,112.50,997,110342
