Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,7.46,7.46,7.00,7.34,25672,186174
27.09.2018,7.50,7.50,7.15,7.48,14349,106454
26.09.2018,7.50,7.58,7.40,7.52,26664,199009
25.09.2018,7.10,7.50,7.00,7.40,16835,123826
24.09.2018,6.76,7.22,6.76,6.89,16572,116217
21.09.2018,6.80,6.80,6.25,6.60,588287,3846363
20.09.2018,7.55,7.55,7.12,7.21,26577,194289
19.09.2018,7.59,7.59,7.50,7.50,70079,530015
18.09.2018,7.52,7.62,7.42,7.50,4322,32553
17.09.2018,7.64,7.65,7.51,7.52,5813,44306
14.09.2018,7.68,7.68,7.51,7.61,13435,102978
13.09.2018,7.71,7.71,7.43,7.66,7926,59996
12.09.2018,7.60,7.72,7.46,7.46,13062,98786
11.09.2018,7.65,7.82,7.61,7.61,9482,73218
10.09.2018,7.80,7.88,7.57,7.77,6179,48127
07.09.2018,8.21,8.41,7.61,7.94,11272,91229
06.09.2018,8.23,8.23,8.06,8.20,2852,23357
05.09.2018,8.47,8.47,8.02,8.23,5508,44954
04.09.2018,8.35,8.38,8.02,8.10,11440,93771
03.09.2018,8.61,8.66,8.44,8.45,7198,61619
31.08.2018,8.93,8.93,8.60,8.62,6623,57602
30.08.2018,8.80,8.80,8.65,8.77,7966,69244
29.08.2018,8.80,8.95,8.72,8.74,6235,55165
28.08.2018,8.65,8.78,8.60,8.78,45133,390434
27.08.2018,8.57,8.57,8.54,8.57,9290,79599
24.08.2018,8.58,8.58,8.33,8.57,15584,132203
23.08.2018,8.47,8.60,8.47,8.57,2811,23996
22.08.2018,8.50,8.70,8.42,8.60,20089,169897
21.08.2018,8.65,8.65,8.40,8.65,3861,32885
20.08.2018,8.75,8.75,8.55,8.70,1730,14972
17.08.2018,8.60,8.84,8.40,8.70,8218,70345
16.08.2018,8.85,8.96,8.40,8.60,12528,107996
14.08.2018,8.80,8.99,8.61,8.89,10536,92015
13.08.2018,9.00,9.00,8.60,8.66,10410,91796
10.08.2018,9.10,9.10,8.96,8.96,2150,19338
09.08.2018,9.10,9.18,8.94,8.96,9226,83133
08.08.2018,9.18,9.22,9.02,9.17,12895,118093
07.08.2018,8.90,9.20,8.88,9.13,26003,236429
06.08.2018,9.20,9.21,9.00,9.00,9842,89628
03.08.2018,9.14,9.35,9.00,9.15,15218,139213
02.08.2018,9.30,9.30,9.00,9.24,7857,72030
01.08.2018,9.40,9.40,9.19,9.25,13923,128731
31.07.2018,9.48,9.48,9.20,9.35,28371,266346
30.07.2018,10.38,10.38,10.30,10.32,93490,968077
27.07.2018,10.36,10.40,10.34,10.34,76088,788174
26.07.2018,10.40,10.40,10.30,10.36,72842,754961
25.07.2018,10.30,10.34,10.30,10.32,53093,547956
24.07.2018,10.24,10.24,10.20,10.22,63237,646412
23.07.2018,10.20,10.24,10.14,10.14,36686,374162
20.07.2018,10.26,10.26,10.10,10.10,16427,166964
19.07.2018,10.24,10.30,10.10,10.20,12186,124247
18.07.2018,10.20,10.30,10.08,10.20,18674,190838
17.07.2018,10.10,10.10,10.00,10.08,10287,103271
16.07.2018,10.10,10.10,9.98,10.00,8907,89068
13.07.2018,10.10,10.10,9.98,10.00,10024,100198
12.07.2018,10.08,10.16,10.00,10.08,14346,144124
11.07.2018,10.18,10.22,10.08,10.08,9261,93910
10.07.2018,10.30,10.30,10.16,10.20,4726,48152
09.07.2018,10.44,10.44,10.16,10.26,34072,350273
06.07.2018,10.38,10.50,10.12,10.30,18666,192450
05.07.2018,10.12,10.42,10.12,10.38,5991,61419
04.07.2018,10.14,10.14,9.96,10.02,15912,160017
03.07.2018,10.04,10.06,10.00,10.02,6274,62911
02.07.2018,9.99,10.06,9.90,10.04,15079,151267
