Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,98.50,98.50,97.00,97.00,79,7736
27.09.2018,102.00,102.00,98.50,98.50,119,11796
26.09.2018,100.00,100.00,100.00,100.00,81,8100
25.09.2018,99.00,105.00,99.00,100.00,157,15705
24.09.2018,100.00,100.00,100.00,100.00,24,2400
21.09.2018,103.00,103.00,103.00,103.00,1,103
20.09.2018,105.00,105.00,99.50,103.00,119,11930
19.09.2018,99.00,105.00,99.00,105.00,79,8061
18.09.2018,97.50,101.00,97.50,101.00,90,9014
17.09.2018,103.00,104.00,97.50,97.50,325,32929
14.09.2018,108.00,108.00,103.00,106.00,139,14480
13.09.2018,109.00,109.00,109.00,109.00,1,109
12.09.2018,109.00,109.00,99.00,109.00,42,4568
11.09.2018,111.00,111.00,107.00,110.00,268,29047
10.09.2018,111.00,111.00,107.00,110.00,52,5715
07.09.2018,110.00,111.00,110.00,111.00,29,3218
06.09.2018,115.00,115.00,111.00,111.00,98,10882
05.09.2018,115.00,115.00,115.00,115.00,7,805
04.09.2018,116.00,116.00,111.00,115.00,189,21293
03.09.2018,116.00,116.00,112.00,116.00,29,3302
31.08.2018,117.00,117.00,113.00,116.00,52,5952
30.08.2018,116.00,116.00,116.00,116.00,22,2552
29.08.2018,117.00,117.00,116.00,116.00,30,3488
28.08.2018,115.00,115.00,115.00,115.00,75,8625
27.08.2018,115.00,117.00,115.00,116.00,51,5926
24.08.2018,116.00,117.00,115.00,116.00,146,16947
23.08.2018,120.00,120.00,117.00,117.00,131,15357
22.08.2018,120.00,120.00,120.00,120.00,2,240
21.08.2018,120.00,120.00,119.00,120.00,82,9832
20.08.2018,121.00,121.00,120.00,120.00,3,362
17.08.2018,125.00,125.00,120.00,122.00,73,8796
16.08.2018,125.00,125.00,125.00,125.00,1,125
14.08.2018,125.00,125.00,125.00,125.00,2,250
13.08.2018,121.00,126.00,121.00,126.00,109,13411
10.08.2018,121.00,121.00,116.00,121.00,12,1411
09.08.2018,121.00,121.00,121.00,121.00,2,242
08.08.2018,121.00,121.00,121.00,121.00,12,1452
07.08.2018,116.00,119.00,116.00,119.00,19,2248
06.08.2018,117.00,117.00,115.00,115.00,393,45205
03.08.2018,122.00,122.00,116.00,118.00,103,12118
02.08.2018,120.00,120.00,116.00,120.00,9,1076
01.08.2018,120.00,120.00,119.00,119.00,5,596
31.07.2018,120.00,120.00,118.00,120.00,254,29990
30.07.2018,120.00,121.00,120.00,120.00,296,35629
27.07.2018,123.00,123.00,118.00,120.00,793,94905
26.07.2018,128.00,128.00,123.00,123.00,4,497
25.07.2018,128.00,128.00,128.00,128.00,1,128
24.07.2018,119.00,123.00,119.00,123.00,4,484
23.07.2018,120.00,122.00,120.00,122.00,17,2046
20.07.2018,122.00,122.00,122.00,122.00,1,122
19.07.2018,124.00,124.00,120.00,122.00,604,72502
18.07.2018,124.00,125.00,120.00,124.00,325,39770
17.07.2018,124.00,125.00,124.00,125.00,100,12402
16.07.2018,126.00,126.00,120.00,124.00,38,4621
13.07.2018,132.00,132.00,127.00,128.00,130,16568
12.07.2018,145.00,145.00,133.00,133.00,105,14047
11.07.2018,134.00,138.00,133.00,138.00,113,15124
10.07.2018,138.00,138.00,136.00,136.00,74,10066
09.07.2018,136.00,137.00,136.00,136.00,290,39450
06.07.2018,135.00,137.00,135.00,136.00,146,19856
05.07.2018,135.00,135.00,135.00,135.00,2,270
04.07.2018,134.00,135.00,134.00,135.00,2,269
03.07.2018,133.00,133.00,133.00,133.00,1,133
02.07.2018,133.00,133.00,133.00,133.00,16,2128
29.06.2018,132.00,133.00,132.00,133.00,7,930
28.06.2018,138.00,138.00,132.00,132.00,623,82841
27.06.2018,138.00,138.00,138.00,138.00,1,138
26.06.2018,138.00,138.00,138.00,138.00,1,138
25.06.2018,138.00,138.00,136.00,136.00,35,4780
22.06.2018,148.00,148.00,142.00,142.00,67,9530
21.06.2018,148.00,148.00,143.00,143.00,14,2007
20.06.2018,143.00,143.00,143.00,143.00,55,7865
19.06.2018,148.00,148.00,142.00,142.00,56,7958
15.06.2018,142.00,143.00,142.00,143.00,40,5719
13.06.2018,142.00,142.00,142.00,142.00,2,284
12.06.2018,143.00,143.00,143.00,143.00,2,286
11.06.2018,142.00,142.00,142.00,142.00,12,1704
08.06.2018,146.00,146.00,140.00,142.00,532,74488
07.06.2018,133.00,140.00,133.00,140.00,16,2135
05.06.2018,142.00,142.00,142.00,142.00,11,1562
04.06.2018,147.00,147.00,140.00,141.00,204,28806
01.06.2018,154.00,154.00,147.00,147.00,94,14273
30.05.2018,150.00,150.00,145.00,150.00,120,17740
29.05.2018,145.00,145.00,145.00,145.00,10,1450
28.05.2018,150.00,150.00,150.00,150.00,1,150
25.05.2018,150.00,150.00,145.00,145.00,72,10463
24.05.2018,154.00,154.00,154.00,154.00,1,154
23.05.2018,154.00,154.00,145.00,154.00,15,2244
22.05.2018,148.00,154.00,148.00,154.00,166,24604
21.05.2018,145.00,145.00,145.00,145.00,174,25230
18.05.2018,143.00,143.00,142.00,143.00,141,20103
16.05.2018,139.00,139.00,134.00,139.00,65,8835
15.05.2018,143.00,143.00,138.00,138.00,101,13943
14.05.2018,143.00,143.00,143.00,143.00,2,286
11.05.2018,145.00,145.00,144.00,145.00,84,12111
10.05.2018,145.00,145.00,145.00,145.00,10,1450
09.05.2018,154.00,154.00,140.00,145.00,28,4029
08.05.2018,145.00,145.00,145.00,145.00,11,1595
07.05.2018,140.00,140.00,140.00,140.00,37,5180
04.05.2018,149.00,149.00,147.00,149.00,6,886
02.05.2018,149.00,149.00,145.00,145.00,32,4666
30.04.2018,141.00,150.00,132.00,140.00,257,35830
27.04.2018,135.00,140.00,135.00,140.00,211,29510
26.04.2018,141.00,141.00,136.00,136.00,339,46724
25.04.2018,147.00,147.00,140.00,140.00,57,8018
24.04.2018,148.00,148.00,148.00,148.00,1,148
23.04.2018,154.00,154.00,143.00,147.00,39,5680
20.04.2018,147.00,147.00,147.00,147.00,1,147
19.04.2018,147.00,147.00,141.00,141.00,3,429
18.04.2018,149.00,149.00,143.00,144.00,336,48323
17.04.2018,143.00,150.00,143.00,150.00,55,7872
13.04.2018,141.00,141.00,141.00,141.00,2,282
12.04.2018,136.00,141.00,136.00,141.00,3,418
11.04.2018,134.00,138.00,134.00,135.00,13,1784
10.04.2018,134.00,134.00,134.00,134.00,42,5628
09.04.2018,135.00,135.00,134.00,134.00,34,4577
06.04.2018,136.00,136.00,136.00,136.00,14,1904
04.04.2018,141.00,141.00,141.00,141.00,10,1410
03.04.2018,138.00,141.00,138.00,141.00,147,20667
29.03.2018,139.00,139.00,138.00,139.00,32,4418
28.03.2018,136.00,142.00,136.00,139.00,136,18876
27.03.2018,146.00,146.00,135.00,135.00,89,12313
26.03.2018,151.00,151.00,142.00,144.00,223,32019
23.03.2018,154.00,155.00,151.00,151.00,123,18806
22.03.2018,151.00,151.00,151.00,151.00,54,8154
21.03.2018,153.00,153.00,153.00,153.00,15,2295
20.03.2018,153.00,154.00,153.00,154.00,11,1693
19.03.2018,160.00,160.00,154.00,154.00,73,11248
16.03.2018,162.00,162.00,161.00,161.00,86,13923
15.03.2018,162.00,162.00,162.00,162.00,2,324
14.03.2018,162.00,162.00,162.00,162.00,2,324
13.03.2018,162.00,162.00,162.00,162.00,6,972
12.03.2018,169.00,169.00,169.00,169.00,1,169
09.03.2018,169.00,169.00,164.00,169.00,29,4801
08.03.2018,164.00,164.00,164.00,164.00,2,328
